Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update,,,,,
A23A,44,40,-75.59,-40.21,belle,9/4/2020,,,,,
A63,11,3,-73.66,-45.36,belle,9/4/2020,,,,,
A64,16,11,-69.73,-60.99,belle (grounded),9/4/2020,,,,,
A68A,82,26,-59.49,-49.68,belle,9/4/2020,,,,,
A68C,9,5,-57.12,-33.09,belle,9/4/2020,,,,,
A69A,10,9,-68.87,-60.64,belle,9/4/2020,,,,,
A69B,10,7,-68.56,-60.52,belle,9/4/2020,,,,,
B09B,27,9,-66.22,143.14,wilke,9/4/2020,,,,,
B09G,12,7,-67.96,41.69,amerw (grounded),9/4/2020,,,,,
B09I,12,6,-71.99,-34.60,belle,9/4/2020,,,,,
B15AB,11,4,-66.03,51.06,amerw (grounded),9/4/2020,,,,,
B22A,44,24,-73.97,-109.33,amune (grounded),9/4/2020,,,,,
B28,10,7,-74.68,-108.78,amune (grounded),9/4/2020,,,,,
B29,11,5,-74.52,-108.91,amune (grounded),9/4/2020,,,,,
B37,8,3,-72.72,-111.52,amune,9/4/2020,,,,,
B38,6,4,-77.00,-155.02,rosse,9/4/2020,,,,,
B39,8,4,-66.63,59.93,amere,9/4/2020,,,,,
B40,8,5,-65.64,132.16,wilke (grounded),9/4/2020,,,,,
B42,13,4,-72.93,-126.64,amunw (grounded),9/4/2020,,,,,
B45,8,6,-74.69,-109.34,amune (grounded),9/4/2020,,,,,
B46,10,4,-74.43,-106.19,amune,9/4/2020,,,,,
B47,19,5,-73.79,-133.81,amunw (grounded),9/4/2020,,,,,
B50,15,6,-73.76,-133.03,amunw,9/4/2020,,,,,
C15,14,10,-65.99,143.31,wilke (grounded),9/4/2020,,,,,
C18B,20,4,-64.91,100.88,wilkw,9/4/2020,,,,,
C21B,12,8,-64.99,95.86,wilkw (grounded),9/4/2020,,,,,
C24,11,3,-64.84,96.02,wilkw (grounded),9/4/2020,,,,,
C29,5,5,-66.09,142.86,wilke (grounded),9/4/2020,,,,,
C30,9,3,-64.78,96.30,wilkw (grounded),9/4/2020,,,,,
C31,9,3,-64.69,96.51,wilkw (grounded),9/4/2020,,,,,
C33,8,4,-65.38,129.65,wilke,9/4/2020,,,,,
C35,7,5,-68.24,148.14,wilke (grounded),9/4/2020,,,,,
C36,23,16,-68.11,147.85,wilke (grounded),9/4/2020,,,,,
D15A,51,24,-66.65,81.92,amere (grounded),9/4/2020,,,,,
D15B,33,12,-66.99,81.57,amere (grounded),9/4/2020,,,,,
D20A,20,9,-68.66,36.26,amerw (grounded),9/4/2020,,,,,
D21B,11,4,-65.51,-46.02,belle,9/4/2020,,,,,
D23,8,6,-69.43,74.67,amere (grounded),9/4/2020,,,,,
D26,19,2,-69.36,29.40,wedde (grounded),9/4/2020,,,,,
D27,8,5,-67.57,79.43,amere,9/4/2020,,,,,
D28,29,19,-66.35,58.95,amerw,9/4/2020,,,,,
,,,,,,,,,,,
